Continent,Geographic Area,Indicator,Sex,TIME_PERIOD,CATEGORY,OBS_VALUE,Unit of Measure
America,Central America,Height-for-age <-2 SD (stunting),Total,1985,1,58,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1986,1,59,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1987,1,60,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1988,1,61,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1989,1,62,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1990,1,63,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1991,1,64,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1992,1,65,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1993,1,66,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1994,1,62,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1995,1,63,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1996,1,64,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1997,1,65,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1998,1,66,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,1999,1,58,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2000,1,59,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2001,1,60,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2002,1,61,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2003,1,62,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2004,1,63,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2005,1,64,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2006,1,65,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2007,1,66,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2008,1,58,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2009,1,59,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2010,1,60,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2011,1,61,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2012,1,62,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2013,1,63,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2014,1,64,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2015,1,65,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2016,1,66,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2017,1,58,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2018,1,59,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2019,1,60,Percent
America,Central America,Height-for-age <-2 SD (stunting),Total,2020,1,61,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1985,1,62,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1986,1,63,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1987,1,64,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1988,1,65,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1989,1,66,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1990,1,65,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1991,1,66,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1992,1,58,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1993,1,59,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1994,1,60,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1995,1,61,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1996,1,62,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1997,1,63,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1998,1,64,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1999,1,65,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2000,1,66,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2001,1,58,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2002,1,59,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2003,1,60,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2004,1,61,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2005,1,62,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2006,1,63,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2007,1,64,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2008,1,65,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2009,1,66,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2010,1,58,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2011,1,59,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2012,1,60,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2013,1,61,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2014,1,62,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2015,1,63,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2016,1,64,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2017,1,65,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2018,1,66,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2019,1,58,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2020,1,59,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1985,1,60,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1986,1,61,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1987,1,62,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1988,1,63,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1989,1,64,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1990,1,65,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1991,1,66,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1992,1,58,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1993,1,59,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1994,1,60,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1995,1,61,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1996,1,62,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1997,1,63,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1998,1,64,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1999,1,65,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2000,1,66,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2001,1,58,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2002,1,59,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2003,1,60,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2004,1,61,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2005,1,62,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2006,1,63,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2007,1,64,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2008,1,65,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2009,1,66,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2010,1,58,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2011,1,59,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2012,1,60,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2013,1,61,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2014,1,62,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2015,1,63,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2016,1,64,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2017,1,65,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2018,1,66,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2019,1,58,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2020,1,59,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1985,1,60,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1986,1,61,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1987,1,62,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1988,1,63,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1989,1,64,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1990,1,65,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1991,1,66,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1992,4,32,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1993,4,30,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1994,4,28,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1995,4,27,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1996,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1997,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1998,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1999,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2000,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2001,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2002,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2003,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2004,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2005,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2006,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2007,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2008,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2009,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2010,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2011,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2012,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2013,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2014,3,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2015,4,35,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2016,4,35,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2017,4,35,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2018,4,35,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2019,4,35,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2020,4,35,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1985,1,60,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1986,1,61,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1987,1,62,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1988,1,63,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1989,1,64,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1990,1,65,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1991,1,66,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1992,1,60,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1993,1,61,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1994,1,62,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1995,1,63,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1996,1,64,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1997,1,65,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1998,1,66,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1999,1,60,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2000,1,61,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2001,1,62,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2002,1,63,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2003,1,64,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2004,1,65,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2005,1,66,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2006,1,60,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2007,1,61,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2008,1,62,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2009,1,63,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2010,1,64,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2011,1,65,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2012,1,66,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2013,1,58,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2014,1,59,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2015,1,60,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2016,1,61,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2017,1,62,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2018,1,63,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2019,1,64,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2020,1,65,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1985,1,66,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1986,3,46,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1987,3,44,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1988,3,42,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1989,3,41,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1990,3,39,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1991,4,37,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1992,4,36,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1993,4,34,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1994,4,33,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1995,4,32,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1996,4,31,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1997,4,30,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1998,4,29,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1999,4,27,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2000,4,26,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2001,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2002,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2003,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2004,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2005,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2006,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2007,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2008,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2009,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2010,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2011,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2012,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2013,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2014,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2015,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2016,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2017,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2018,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2019,3,38,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2020,3,38,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1985,1,64,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1986,1,63,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1987,1,62,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1988,1,61,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1989,1,60,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1990,1,59,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1991,1,58,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1992,2,57,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1993,2,56,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1994,2,55,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1995,2,54,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1996,2,53,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1997,2,52,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1998,2,51,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1999,2,50,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2000,3,49,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2001,3,48,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2002,3,47,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2003,3,46,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2004,3,45,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2005,3,44,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2006,3,43,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2007,3,42,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2008,3,41,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2009,3,40,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2010,3,39,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2011,3,38,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2012,4,37,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2013,4,36,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2014,4,35,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2015,4,34,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2016,4,33,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2017,4,32,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2018,4,32,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2019,4,31,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2020,4,30,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1985,4,34,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1986,4,34,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1987,4,33,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1988,4,32,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1989,4,31,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1990,4,30,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1991,4,30,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1992,4,29,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1993,4,28,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1994,4,27,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1995,4,26,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1996,4,26,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1997,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1998,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1999,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2000,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2001,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2002,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2003,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2004,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2005,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2006,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2007,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2008,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2009,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2010,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2011,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2012,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2013,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2014,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2015,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2016,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2017,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2018,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2019,3,38,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2020,3,38,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1985,1,64,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1986,1,63,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1987,1,62,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1988,1,61,Percent
