Continent,Geographic Area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit of Measure
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1992,21,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1993,21,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1994,20,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1995,20,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1996,19,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1997,18,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1998,18,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,1999,17,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2000,17,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2001,16,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2002,16,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2003,15,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2004,15,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2005,14,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2006,14,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2007,13,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2008,13,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2009,13,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2010,12,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2011,12,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2012,11,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2013,11,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2014,11,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2015,10,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2016,10,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2017,10,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2018,9,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2019,9,Percent
America,Latin America & the Caribbean,Height-for-age <-2 SD (stunting),Total,2020,9,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1985,22,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1986,21,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1987,21,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1988,20,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1989,19,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1990,19,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1991,18,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1992,18,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1993,17,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1994,17,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1995,16,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1996,16,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1997,15,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1998,15,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,1999,14,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2000,14,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2001,13,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2002,13,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2003,12,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2004,12,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2005,12,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2006,11,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2007,11,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2008,11,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2009,10,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2010,10,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2011,10,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2012,9,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2013,9,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2014,9,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2015,8,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2016,8,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2017,8,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2018,8,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2019,7,Percent
America,South America,Height-for-age <-2 SD (stunting),Total,2020,7,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1985,46,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1986,44,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1987,42,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1988,40,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1989,38,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1990,36,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1991,34,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1992,32,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1993,30,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1994,28,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1995,27,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1996,25,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1997,23,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1998,22,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,1999,21,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2000,19,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2001,18,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2002,17,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2003,16,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2004,14,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2005,13,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2006,12,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2007,12,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2008,11,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2009,10,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2010,9,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2011,9,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2012,8,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2013,7,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2014,7,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2015,6,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2016,6,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2017,5,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2018,5,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2019,5,Percent
Eurasia,Eastern Asia,Height-for-age <-2 SD (stunting),Total,2020,4,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1985,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1986,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1987,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1988,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1989,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1990,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1991,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1992,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1993,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1994,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1995,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1996,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1997,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1998,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,1999,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2000,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2001,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2002,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2003,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2004,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2005,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2006,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2007,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2008,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2009,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2010,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2011,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2012,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2013,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2014,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2015,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2016,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2017,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2018,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2019,3,Percent
America,North America,Height-for-age <-2 SD (stunting),Total,2020,3,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1985,48,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1986,46,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1987,44,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1988,42,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1989,41,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1990,39,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1991,37,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1992,36,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1993,34,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1994,33,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1995,32,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1996,31,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1997,30,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1998,29,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,1999,27,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2000,26,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2001,25,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2002,24,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2003,23,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2004,22,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2005,22,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2006,21,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2007,20,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2008,19,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2009,18,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2010,17,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2011,17,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2012,16,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2013,15,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2014,15,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2015,14,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2016,14,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2017,13,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2018,13,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2019,12,Percent
Eurasia,Eastern and South-Eastern Asia,Height-for-age <-2 SD (stunting),Total,2020,12,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1985,64,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1986,63,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1987,62,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1988,61,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1989,60,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1990,59,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1991,58,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1992,57,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1993,56,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1994,55,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1995,54,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1996,53,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1997,52,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1998,51,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,1999,50,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2000,49,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2001,48,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2002,47,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2003,46,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2004,45,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2005,44,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2006,43,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2007,42,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2008,41,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2009,40,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2010,39,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2011,38,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2012,37,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2013,36,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2014,35,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2015,34,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2016,33,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2017,32,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2018,32,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2019,31,Percent
Eurasia,Central and Southern Asia,Height-for-age <-2 SD (stunting),Total,2020,30,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1985,34,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1986,34,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1987,33,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1988,32,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1989,31,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1990,30,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1991,30,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1992,29,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1993,28,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1994,27,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1995,26,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1996,26,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1997,25,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1998,24,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,1999,24,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2000,23,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2001,22,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2002,22,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2003,21,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2004,20,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2005,20,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2006,19,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2007,19,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2008,18,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2009,17,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2010,17,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2011,16,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2012,16,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2013,15,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2014,15,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2015,14,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2016,14,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2017,14,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2018,13,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2019,13,Percent
Eurasia,Western Asia,Height-for-age <-2 SD (stunting),Total,2020,12,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1985,64,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1986,63,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1987,62,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1988,61,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1989,61,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1990,60,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1991,59,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1992,58,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1993,57,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1994,56,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1995,55,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1996,54,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1997,53,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1998,52,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,1999,51,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,2000,50,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,2001,49,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,2002,48,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,2003,47,Percent
Eurasia,Southern Asia,Height-for-age <-2 SD (stunting),Total,2004,46,Percent
